Job Title | Survey | Online
Office managers | Other qualification | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Buyers and purchasing officers | Degree or equivalent | Other qualification
Retail and wholesale managers | GCSE grades A*-C or equivalent | Degree or equivalent
Telephone salespersons | GCSE grades A*-C or equivalent | Other qualification
Public relations officers | GCSE grades A*-C or equivalent | Degree or equivalent
Waiters waitresses | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Packers bottlers canners fillers | Other qualification | Other qualification
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Midwives | Higher education | Other qualification
Kitchen and catering assistants | Degree or equivalent | GCSE grades A*-C or equivalent
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Construction trades nec | GCSE grades A*-C or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Personal assists  othr secretaries | GCE A level or equivalent | Other qualification
Police offcrs sergeant and below | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Legal secretaries | GCSE grades A*-C or equivalent | Other qualification
Road construction operatives | Other qualification | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
School secretaries | GCE A level or equivalent | Other qualification
Info  communication technol mngers | GCE A level or equivalent | Other qualification
Prec instrument makers  repairers | GCSE grades A*-C or equivalent | Other qualification
Public serv associate professionals | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Care assistants and home carers | Higher education | Other qualification
Car advis  voction guidnce spcils | Degree or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Company secretaries | GCE A level or equivalent | Degree or equivalent
Town planners | Degree or equivalent | Degree or equivalent
Food drink  tobac process operat | GCSE grades A*-C or equivalent | Other qualification
Retail and wholesale managers | GCSE grades A*-C or equivalent | Degree or equivalent
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Assemblers veh and metal goods | GCE A level or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Publicans  managrs licensed prmses | Other qualification | Other qualification
Dental nurses | GCE A level or equivalent | GCSE grades A*-C or equivalent
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | Other qualification
Motor mechanics auto engineers | GCE A level or equivalent | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Elementary cleaning occupns nec | Other qualification | Other qualification
Pharmacists  pharmacologists | Degree or equivalent | Other qualification
Launderers dry cleaners pressers | Other qualification | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
educal assistants | GCE A level or equivalent | Degree or equivalent
Pers training  ind rel mngers | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | Higher education | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Telecommunications engineers | GCE A level or equivalent | Other qualification
Nursery nurses | GCE A level or equivalent | Other qualification
Scaffolders stagers riggers | Other qualification | Other qualification
Pharmaceutical dispensers | Higher education | Degree or equivalent
Officers nongov organisations | Degree or equivalent | Other qualification
Scientific researchers | Degree or equivalent | Degree or equivalent
Software professionals | Degree or equivalent | Degree or equivalent
Info  communication technol mngers | Degree or equivalent | Other qualification
Communication operators | Degree or equivalent | GCSE grades A*-C or equivalent
Counter clerks | GCE A level or equivalent | Other qualification
Quarry workers and related oprtives | Other qualification | Other qualification
Cleaners domestics | GCE A level or equivalent | Other qualification
Managers in construction | Degree or equivalent | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Oth good hndlng  storage occup nec | GCE A level or equivalent | Other qualification
Process operatives nec | GCE A level or equivalent | Other qualification
Farm workers | GCE A level or equivalent | Other qualification
Playgroup leaders  assistants | Higher education | Other qualification
Motor mechanics auto engineers | GCE A level or equivalent | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | Higher education | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Electrical engineers | GCE A level or equivalent | GCSE grades A*-C or equivalent
Further educ teaching prfsnals | Degree or equivalent | Other qualification
Police offcrs sergeant and below | Degree or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Heavy goods vehicle drivers | Degree or equivalent | Other qualification
Registrs  sen admins ed establish | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Sales representatives | GCSE grades A*-C or equivalent | Other qualification
Psychologists | Degree or equivalent | Degree or equivalent
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Oth good hndlng  storage occup nec | GCE A level or equivalent | Other qualification
Counter clerks | GCE A level or equivalent | Other qualification
Estimators valuers and assessors | Higher education | Other qualification
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
